0.176,0.3725,-1
0.6147,-0.6061,1
-0.6835,-0.7411,1
0.621,0.01544,-1
0.2898,-0.03325,-1
-0.07025,0.2948,-1
-0.3513,-0.9613,1
-0.1936,0.4577,-1
-0.3547,0.7768,1
-0.2644,0.3018,-1
0.7178,-0.9545,1
-0.9924,0.08207,1
0.04534,0.4418,-1
0.376,0.1717,-1
-0.9979,0.7748,1
0.6408,0.9558,1
-0.4294,-0.2514,-1
-0.4516,-0.1371,-1
0.1003,0.8588,1
0.6084,0.6302,1
0.1105,0.9434,1
0.5587,-0.268,-1
0.1281,0.01958,-1
0.9812,0.1142,1
0.06496,0.05833,-1
0.008828,-0.115,-1
-0.3775,-0.4205,-1
0.7653,0.2879,1
0.3245,-0.2186,-1
-0.8094,0.6627,1
-0.01847,-0.3648,-1
0.09384,-0.3997,-1
-0.6889,-0.7649,1
0.1403,0.3969,-1
0.2475,-0.8427,1
0.478,-0.005356,-1
0.6862,-0.5899,1
-0.2302,0.3804,-1
0.7556,0.4446,1
0.2741,-0.0131,-1
0.6372,0.9815,1
-0.1842,-0.6029,-1
-0.8815,-0.8163,1
0.1152,0.2855,-1
-0.4134,0.08442,-1
0.01688,-0.9672,1
-0.8377,-0.1508,1
0.5404,-0.9536,1
0.231,0.2818,-1
-0.9081,0.3062,1
-0.4351,0.2982,-1
0.3597,-0.2715,-1
0.01312,-0.8714,1
0.2761,-0.7877,1
0.4367,-0.04376,-1
0.8399,-0.5357,1
-0.9758,0.919,1
0.9252,-0.3634,1
0.659,0.9189,1
0.7811,-0.1222,1
-0.4426,-0.1819,-1
-0.7896,-0.7054,1
-0.6906,0.4118,1
-0.3403,-0.4883,-1
-0.2636,-0.9366,1
0.06668,0.3785,-1
0.05025,-0.3499,-1
-0.7108,0.9472,1
0.9574,-0.07711,1
0.8779,-0.3946,1
-0.4522,-0.8532,1
0.04345,0.2298,-1
-0.07907,0.8086,1
0.8697,-0.2859,1
0.998,0.3433,1
-0.621,0.8569,1
-0.1094,0.3046,-1
0.48,-0.8898,1
-0.06182,0.9105,1
-0.4623,0.9841,1
0.00302,-0.1924,-1
-0.6147,-0.6362,1
-0.9871,-0.5205,1
0.8144,0.5873,1
0.4085,-0.8743,1
0.6772,-0.942,1
-0.3256,0.181,-1
0.6067,0.5516,1
-0.7905,-0.1468,1
0.9203,-0.2035,1
-0.5796,-0.9212,1
0.7485,0.8337,1
-0.7996,-0.9803,1
-0.8394,-0.1024,1
-0.2258,-0.4545,-1
-0.5128,-0.2209,-1
0.2825,-0.1153,-1
-0.03339,0.4234,-1
-0.4014,-0.7996,1
-0.08612,0.9618,1
0.7264,0.3914,1
0.261,0.7409,1
-0.97,0.9657,1
-0.4066,-0.7007,1
0.4573,0.1845,-1
0.8167,0.0349,1
0.3528,0.7837,1
0.4627,0.3466,-1
0.03831,-0.6211,-1
0.1456,0.8346,1
0.01369,0.003259,-1
0.9526,-0.2501,1
0.6254,0.06217,-1
0.4595,0.2747,-1
0.2692,-0.07927,-1
-0.4427,-0.9806,1
-0.9971,0.7936,1
0.2343,0.9063,1
-0.3601,0.2446,-1
-0.9045,0.8358,1
-0.8922,-0.2924,1
0.8545,-0.2336,1
-0.6669,-0.7389,1
0.4076,-0.3131,-1
0.5119,0.9157,1
0.3336,0.3678,-1
-0.8538,0.8615,1
-0.6461,-0.4805,1
0.2235,-0.391,-1
-0.1164,0.3302,-1
0.6932,-0.4274,1
0.5607,-0.8304,1
-0.1564,-0.2564,-1
-0.3372,-0.002792,-1
0.1442,0.1248,-1
-0.2002,0.1111,-1
-0.8074,-0.8697,1
0.6232,-0.6453,1
0.4742,0.3021,-1
-0.1409,-0.1587,-1
0.9479,0.708,1
0.8511,0.1237,1
0.3669,0.5117,-1
0.8092,-0.4827,1
-0.1722,0.3419,-1
0.052,-0.3981,-1
0.7175,-0.7773,1
0.7368,0.7491,1
-0.2394,0.2733,-1
-0.3289,-0.8274,1
-0.5457,0.695,1
-0.6232,-0.5174,1
0.906,0.3564,1
-0.3686,0.1144,-1
0.4831,-0.1337,-1
0.5284,0.9559,1
0.7129,0.7816,1
0.2932,-0.903,1
0.4681,-0.9176,1
0.06714,-0.2619,-1
0.1652,0.4144,-1
0.558,0.1711,-1
0.9171,-0.1208,1
0.5808,0.6909,1
0.1241,-0.3851,-1
0.4684,0.7052,1
-0.2067,0.8681,1
0.831,-0.8203,1
0.283,-0.8694,1
0.9216,0.6473,1
-0.279,-0.7601,1
0.7063,0.7991,1
0.7738,-0.7312,1
0.9044,0.5197,1
-0.4058,0.1902,-1
0.8045,-0.631,1
-0.7089,0.8847,1
0.2255,-0.9422,1
-0.8665,0.4087,1
